bill_no,item_name,quantity,price,customer_id
539993,JUMBO BAG PINK POLKADOT,10,1.95,13313
539993,BLUE POLKADOT WRAP,25,0.42,13313
539993,RED RETROSPOT WRAP,25,0.42,13313
539993,JUMBO BAG RED RETROSPOT,10,1.95,13313
539993,JAM MAKING SET PRINTED,12,1.45,13313
539993,WHITE HANGING HEART T-LIGHT HOLDER,12,2.95,13313
540001,PLACE SETTING WHITE HEART,48,0.42,18097
540001,SWEETHEART CERAMIC TRINKET BOX,24,1.25,18097
540003,HANGING HEART ZINC T-LIGHT HOLDER,12,0.85,16875
540003,PACK OF 20 NAPKINS PANTRY DESIGN,12,0.85,16875
540003,JAM MAKING SET PRINTED,12,1.45,16875
540003,HANGING HEART JAR T-LIGHT HOLDER,12,1.25,16875
540003,SET OF 3 CAKE TINS PANTRY DESIGN,3,4.95,16875
540003,NATURAL SLATE HEART CHALKBOARD,6,2.95,16875
540003,HOMEMADE JAM SCENTED CANDLES,12,1.45,16875
540005,ROSES REGENCY TEACUP AND SAUCER,1,2.95,17315
540005,VICTORIAN GLASS HANGING T-LIGHT,15,1.25,17315
540013,JAM MAKING SET PRINTED,6,1.45,16255
540013,SET/20 RED RETROSPOT PAPER NAPKINS,5,0.85,16255
540013,PLACE SETTING WHITE HEART,72,0.42,16255
540013,CHILLI LIGHTS,5,4.95,16255
540013,SMALL POPCORN HOLDER,19,0.85,16255
540013,CLOTHES PEGS RETROSPOT PACK 24,4,1.49,16255
540013,SET/5 RED RETROSPOT LID GLASS BOWLS,5,2.95,16255
540013,PLASTERS IN TIN CIRCUS PARADE,2,1.65,16255
540013,60 TEATIME FAIRY CAKE CASES,4,0.55,16255
540014,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,0.85,14606
540014,PINK CREAM FELT CRAFT TRINKET BOX,1,1.25,14606
540014,JUMBO BAG SPACEBOY DESIGN,2,1.95,14606
540014,WHITE HANGING HEART T-LIGHT HOLDER,6,2.95,14606
540014,REGENCY CAKESTAND 3 TIER,1,12.75,14606
540015,SET OF 3 CAKE TINS PANTRY DESIGN,6,4.95,13319
540015,JAM MAKING SET WITH JARS,6,4.25,13319
540015,JAM MAKING SET PRINTED,12,1.45,13319
540015,HOMEMADE JAM SCENTED CANDLES,24,1.45,13319
540015,PACK OF 72 RETROSPOT CAKE CASES,24,0.55,13319
540015,VICTORIAN GLASS HANGING T-LIGHT,12,1.25,13319
540015,ALARM CLOCK BAKELIKE GREEN,4,3.75,13319
540015,ALARM CLOCK BAKELIKE RED,4,3.75,13319
540015,CHILLI LIGHTS,4,4.95,13319
540015,LUNCH BAG RED RETROSPOT,10,1.65,13319
540015,LUNCH BAG WOODLAND,10,1.65,13319
540015,ASSORTED COLOUR BIRD ORNAMENT,16,1.69,13319
540015,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2.95,13319
540016,SET/5 RED RETROSPOT LID GLASS BOWLS,2,2.95,16282
540016,MULTI COLOUR SILVER T-LIGHT HOLDER,36,0.85,16282
540016,WHITE HANGING HEART T-LIGHT HOLDER,10,2.95,16282
540016,SET/20 RED RETROSPOT PAPER NAPKINS,8,0.85,16282
540016,AGED GLASS SILVER T-LIGHT HOLDER,24,0.65,16282
540019,72 SWEETHEART FAIRY CAKE CASES,24,0.55,12957
540019,PACK OF 12 HEARTS DESIGN TISSUES,24,0.29,12957
540019,PENS ASSORTED FUNNY FACE,36,0.21,12957
540020,HEART OF WICKER SMALL,24,1.65,14462
540021,DISCO BALL CHRISTMAS DECORATION,24,0.12,17841
540021,CHRISTMAS HANGING STAR WITH BELL,2,1.25,17841
540021,WOODEN FRAME ANTIQUE WHITE,2,2.95,17841
540021,STRAWBERRY CHARLOTTE BAG,1,0.85,17841
540021,CHARLOTTE BAG SUKI DESIGN,1,0.85,17841
540021,JUMBO SHOPPER VINTAGE RED PAISLEY,1,1.95,17841
540021,JUMBO BAG WOODLAND ANIMALS,1,1.95,17841
540021,JUMBO BAG SPACEBOY DESIGN,1,1.95,17841
540021,JUMBO BAG OWLS,2,1.95,17841
540021,JUMBO BAG RED RETROSPOT,4,1.95,17841
540021,SET OF 3 CAKE TINS PANTRY DESIGN,1,4.95,17841
540021,DOLLY GIRL LUNCH BOX,1,1.95,17841
540021,BOX OF 24 COCKTAIL PARASOLS,10,0.42,17841
540021,CHILLI LIGHTS,48,4.25,17841
540021,ALARM CLOCK BAKELIKE GREEN,1,3.75,17841
540021,BLACK RECORD COVER FRAME,5,3.75,17841
540022,REGENCY CAKESTAND 3 TIER,16,10.95,17188
540022,NATURAL SLATE HEART CHALKBOARD,12,2.95,17188
540022,HEART OF WICKER SMALL,24,1.65,17188
540022,HEART OF WICKER LARGE,12,2.95,17188
540022,WRAP ENGLISH ROSE,50,0.42,17188
540022,FANCY FONTS BIRTHDAY WRAP,50,0.42,17188
540023,PACK OF 60 PINK PAISLEY CAKE CASES,2,0.55,15039
540023,PARTY BUNTING,60,3.75,15039
540023,PACK OF 72 SKULL CAKE CASES,2,0.55,15039
540023,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,1.25,15039
540023,LUNCH BAG SPACEBOY DESIGN,2,1.65,15039
540023,LUNCH BAG WOODLAND,1,1.65,15039
540023,JUMBO BAG STRAWBERRY,10,1.95,15039
540023,JUMBO BAG PINK POLKADOT,20,1.95,15039
540023,REGENCY CAKESTAND 3 TIER,3,12.75,15039
