antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.04930588798468167,0.05536939524493378,0.0324716770384554,0.6585760517799353,11.89422511961053,0.02974163983872913,2.766737979803938,0.9634282730959468
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.05536939524493378,0.04930588798468167,0.0324716770384554,0.5864553314121037,11.89422511961053,0.02974163983872913,2.2988909886363444,0.9696124410651438
frozenset({'BLUE HARMONICA IN BOX'}),frozenset({'RED  HARMONICA IN BOX'}),0.03167384713579065,0.03239189404818893,0.01659486197542684,0.5239294710327457,16.174709334789245,0.015568886074905777,2.032488984459625,0.9688626957618471
frozenset({'RED  HARMONICA IN BOX'}),frozenset({'BLUE HARMONICA IN BOX'}),0.03239189404818893,0.03167384713579065,0.01659486197542684,0.5123152709359605,16.17470933478924,0.015568886074905777,1.9855576669841866,0.9695816736858128
frozenset({'CHARLOTTE BAG APPLES DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.026966650710068613,0.046194351364289135,0.013882240306366683,0.514792899408284,11.144065977864303,0.012636533368347715,1.9657701782857941,0.9354932651745625
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03167384713579065,0.046194351364289135,0.021142492420615926,0.6675062972292193,14.449954973179679,0.01967933959696643,2.868642746275586,0.9612418598360543
frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03829583532790809,0.046194351364289135,0.020025530556885274,0.5229166666666667,11.319926597582038,0.018256479283958932,1.9992432809831495,0.9479632490446379
frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.029041008456996968,0.03829583532790809,0.015158768150630286,0.521978021978022,13.6301510989011,0.014046618473004743,2.011840896210583,0.9543484841932276
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX'}),0.03398755385351843,0.03693952449337801,0.022977501196744854,0.6760563380281689,18.30170656769993,0.021722017118702804,2.972925815694354,0.9786212283889439
frozenset({'SPACEBOY LUNCH BOX'}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.03693952449337801,0.03398755385351843,0.022977501196744854,0.6220302375809935,18.301706567699934,0.021722017118702804,2.555792928947548,0.9816208958108965
frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),0.04986436891654699,0.05887984681665869,0.036381043561512685,0.7296,12.391336585365853,0.03344503715809704,3.480473939287505,0.9675444489130289
frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),0.05887984681665869,0.04986436891654699,0.036381043561512685,0.6178861788617885,12.391336585365853,0.03344503715809704,2.4865251621971214,0.9768130588424265
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.04627413435455561,0.10140418062868996,0.02321685016754428,0.5017241379310345,4.947765810249872,0.01852445948901866,1.8034102949320412,0.8366015890236745
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.04627413435455561,0.05082176479974469,0.036061911600446785,0.7793103448275862,15.334185026795865,0.03371017842796777,4.3009638782511574,0.9801414270929417
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.05082176479974469,0.04627413435455561,0.036061911600446785,0.7095761381475667,15.334185026795865,0.03371017842796777,3.2839101427899893,0.984837406024126
frozenset({'HAND WARMER BIRD DESIGN'}),frozenset({'HAND WARMER OWL DESIGN'}),0.029759055369395247,0.03853518429870752,0.018030955800223392,0.6058981233243967,15.72324446738714,0.016884185117008305,2.4396352126298098,0.9651209837337259
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER BIRD DESIGN'}),0.03127493218445827,0.029759055369395247,0.016036381043561514,0.5127551020408164,17.230221042840732,0.015105668605010138,1.991279844477472,0.9723733498542537
frozenset({'HAND WARMER BIRD DESIGN'}),frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.029759055369395247,0.03127493218445827,0.016036381043561514,0.5388739946380697,17.23022104284073,0.015105668605010138,2.100781687762774,0.9708541414300097
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER OWL DESIGN'}),0.03127493218445827,0.03853518429870752,0.01890856869315462,0.604591836734694,15.689345924705288,0.017703383417496943,2.431575533902624,0.9664893694655439
frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04595500239348971,0.10539333014201373,0.024972075953406735,0.5434027777777778,5.155950353267726,0.020128725214472645,1.9592906533771868,0.8448755949337057
frozenset({'JUMBO BAG PEARS'}),frozenset({'JUMBO BAG APPLES'}),0.033429072921653105,0.04890697303334929,0.021780756342747728,0.6515513126491647,13.322257997952088,0.020145841574838574,2.7295067006782645,0.956926826097276
frozenset({'JUMBO BAG PEARS'}),frozenset({'JUMBO BAG VINTAGE LEAF'}),0.033429072921653105,0.05608744215733206,0.01739269187809159,0.5202863961813842,9.276343797635091,0.015517740684225137,1.9676585160998896,0.923055806926738
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06063507260252114,0.10539333014201373,0.03693952449337801,0.6092105263157895,5.7803518068448945,0.030548992268395532,2.2892291888621874,0.880382187057106
frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04156693792883357,0.10539333014201373,0.022498803255146003,0.5412667946257198,5.135683575956678,0.018117925243019854,1.950167677807577,0.8402088635656525
frozenset({'JUMBO BAG SCANDINAVIAN BLUE PAISLEY'}),frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),0.03350885591191958,0.04156693792883357,0.017472474868358068,0.5214285714285715,12.5443103921031,0.01607961433460108,2.0026959505964674,0.9521893608889069
frozenset({'JUMBO BAG SCANDINAVIAN BLUE PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03350885591191958,0.10539333014201373,0.019227700654220522,0.5738095238095239,5.444457661944415,0.015696090740414413,2.09907710246008,0.8446295462812821
frozenset({'JUMBO BAG SPACEBOY DESIGN'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.0308760172331259,0.10539333014201373,0.016515078985160365,0.5348837209302326,5.075119271869444,0.013260952707439022,1.9234043401946708,0.8285423847720497
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04571565342269028,0.10539333014201373,0.027764480612733365,0.6073298429319371,5.762507381762982,0.02294635565889789,2.278264985905005,0.8660567822434405
