customer_id,product_1,product_2
12347,WRAP 50'S  CHRISTMAS,10 COLOUR SPACEBOY PEN
12349,GIRLS VINTAGE TIN SEASIDE BUCKET,RED RETROSPOT WRAP
12350,BLACK STITCHED WALL CLOCK,PACK OF 12 LONDON TISSUES
12352,WALL TIDY RETROSPOT,CERAMIC BOWL WITH LOVE HEART DESIGN
12353,HANGING HEART MIRROR DECORATION,MINI CAKE STAND T-LIGHT HOLDER
12354,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT
12355,WHITE SAGE INCENSE,COLOURED GLASS STAR T-LIGHT HOLDER
12356,STRAWBERRY CERAMIC TRINKET POT,SET 20 NAPKINS FAIRY CAKES DESIGN
12357,HAND WARMER BIRD DESIGN,PLASTERS IN TIN VINTAGE PAISLEY
12358,BLACK/BLUE POLKADOT UMBRELLA,RED RETROSPOT UMBRELLA
12360,GINGERBREAD MAN COOKIE CUTTER,CHILDREN'S APRON DOLLY GIRL
12361,LUNCH BOX I LOVE LONDON,LUNCH BAG PINK POLKADOT
12362,SPACEBOY GIFT WRAP,FOLKART STAR CHRISTMAS DECORATIONS
12363,RED RETROSPOT TAPE,SET 40 HEART SHAPE PETIT FOUR CASES
12364,MAGIC DRAWING SLATE SPACEBOY,BIRTHDAY BANQUET GIFT WRAP
12370,JAM JAR WITH GREEN LID,SET OF 12 FAIRY CAKE BAKING CASES
12371,3D HEARTS  HONEYCOMB PAPER GARLAND,BLACK TEA TOWEL CLASSIC DESIGN
12373,STRAWBERRY CHARLOTTE BAG,CHARLOTTE BAG APPLES DESIGN
12374,RAIN PONCHO RETROSPOT,WORLD WAR 2 GLIDERS ASSTD DESIGNS
12377,MINI PAINT SET VINTAGE,PARTY INVITES SPACEMAN
12378,SET/10 RED POLKADOT PARTY CANDLES,PAPER BUNTING RETROSPOT
12379,PACK OF 60 DINOSAUR CAKE CASES,SET OF 60 VINTAGE LEAF CAKE CASES
12380,CHARLOTTE BAG VINTAGE ALPHABET,JUMBO BAG PEARS
